Index;en;ru;tr;es;pt;id;fr;it;de;END
0;Easy;Легко;Kolayca;Fácilmente;Fácil;Mudah;Facile;Facile;Einfach;
1;Medium;Средне;Ortalama;Promedio;Médio;Sedang;Moyen;Medio;Mittel;
2;Hard;Сложно;Zor;Difícil;Duro;Keras;Dur;Duro;Hart;
3;Upgrades;Улучшения;İyileştirmeler;Mejoras;Atualizações;Peningkatan;Mises à niveau;Aggiornamenti;Upgrades;
4;Guns;Пушки;Toplar;Armas;Armas;Senjata;Armes à feu;Armi da fuoco;Waffen;
5;Complete all levels to S rank to unlock this level;Завершите все уровни на S ранг, чтобы открыть этот уровнь;Bu seviyenin kilidini açmak için tüm seviyeleri S rütbesiyle tamamlayın;Completa todos los niveles hasta el rango S para desbloquear este nivel.;Complete todos os níveis até o rank S para desbloquear este nível;Selesaikan semua level hingga peringkat S untuk membuka level ini;Terminez tous les niveaux jusqu'au rang S pour débloquer ce niveau;Completate tutti i livelli fino al grado S per sbloccare questo livello.;Schließe alle Level bis zum S-Rang ab, um dieses Level freizuschalten.;
6;Health;Здоровье;Sağlık;Salud;Saúde;Kesehatan;Santé;Salute;Gesundheit;
7;Speed;Скорость;Hız;Velocidad;Velocidade;Kecepatan;Vitesse;Velocità;Geschwindigkeit;
8;Ammo;Боеприпасы;Mühimmat;Munición;Munição;Amunisi;Munitions;Munizioni;Munition;
9;Pistol;Пистолет;Silah;Pistola;Pistola;Pistol;Pistolet;Pistola;Pistole;
10;Rifle;Винтовка;Tüfek;Rifle;Rifle;Senapan;Fusil;Fucile;Gewehr;
11;Shotgun;Дробовик;Pompalı tüfek;Escopeta;Espingarda;Senapan patah;Fusil à pompe;Fucile a pompa;Schrotflinte;
12;Minigun;Миниган;Minigun;Minigun;Minigun;Minigun;Minigun;Minigun;Minigun;
13;Lasergun;Лазерган;Lazer silahı;Pistola laser;Arma a laser;Pistol Laser;Pistolet laser;Lasergun;Lasergewehr;
14;Plasmagun;Плазмаган;Plazma tabancası;Pistola de plasma;Arma de plasma;Senjata plasma;Pistolet à plasma;Plasmagun;Plasmakanone;
15;Upgrade;Улучшить;Geliştirmek;Mejorar;Melhorar;Peningkatan;Mise à niveau;Aggiornamento;Upgrade;
16;Full upgrade;Улучшить полностью;Tamamen geliştirin;Mejorar completamente;Melhorar completamente;Peningkatan penuh;Mise à niveau complète;Aggiornamento completo;Vollständiges Upgrade;
17;Sold;Продано;Satış;Vendido;Vendido;Terjual;Vendu;Venduto;Verkauft;
18;Objectives:;Задачи:;Görevler:;Tareas:;Objetivos:;Tujuan:;Objectifs:;Obiettivi:;Zielsetzungen:;
19;Complete level in less than;Завершить уровень быстрее;Bir seviyeyi daha hızlı tamamla;Completa el nivel en menos de;Complete o nível em menos de;Selesaikan level dalam waktu kurang dari;Terminez le niveau en moins de;Completare il livello in meno di;Vollständiger Level in weniger als;
20;Complete level with no damage;Завершить уровень без урона;Hasar almadan bir seviyeyi tamamla;Completa el nivel sin sufrir daños.;Nível completo sem danos;Selesaikan level tanpa kerusakan;Terminer le niveau sans dégâts;Completa il livello senza danni;Level ohne Schaden abschließen;
21;Pick up all collectibles;Собрать все предметы;Tüm eşyaları topla;Recoge todos los coleccionables;Pegue todos os itens colecionáveis;Ambil semua barang koleksi;Ramassez tous les objets de collection;Raccogliere tutti gli oggetti da collezione;Alle Sammlerstücke einsammeln;
22;Kill all Skibidi;Убить всех Скибиди;Tüm Skibidi'leri öldür;Matar a todos los skibidi;Mate todos os Skibidi;Bunuh semua Skibidi;Tuez tous les Skibidi;Uccidere tutti gli Skibidi;Töte alle Skibidi;
23;You're dead;Вы умерли;öldün;Estas muerto;Você está morto;Kamu mati;Tu es mort;Sei morto;Du bist tot;
24;Try again;Попробовать снова;Tekrar deneyin;Intentar otra vez;Tente novamente;Coba lagi;Essayer à nouveau;Riprova;Erneut versuchen;
25;Menu;Меню;Menü;Menú;Menu;Menu;Menu;Menu;Menü;
26;Level completed;Уровень пройден;Geçilen seviye;Nivel completado;Nível completo;Level selesai;Niveau complété;Livello completato;Level abgeschlossen;
27;Reward:;Награда:;Ödül:;Premio:;Recompensa:;Hadiah:;Récompense:;Ricompensa:;Belohnung:;
28;Rank:;Ранг:;Rütbe:;Rango:;Rank:;Pangkat:;Rang:;Rango:;Rang:;
29;Continue;Продолжить;Devam etmek;Continuar;Continuar;Melanjutkan;Continuer;Continua;Weiter;
30;Completed;Выполнено;Tamamlamak;Terminado;Concluído;Lengkap;Complété;Completato;Abgeschlossen;
31;Failed;Провалено;Arızalı;Fallido;Fracassado;Gagal;Échoué;Fallito;Gescheitert;
32;Return;Назад;Geri;Devolver;Retornar;Kembali;Retour;Ritorno;Rückkehr;
33;Complete level;Завершить уровень;Seviyeyi tamamla;Nivel completo;Complete level;Tingkat lengkap;Niveau complet;Livello completo;Vollständige Ebene;
34;Skibidi Giant;Скибиди гигант;Skibidi Devi;Gigante SkibidiGigante Skibidi;;Raksasa Skibidi;Géant de Skibidi;Skibidi Gigante;Skibidi Riesen;
35;Glitch;Глитч;Kusur;Falla;Falha;Kesalahan;Pépin;Glitch;Glitch;
36;Double reward;Удвоить награду;Çifte ödül;Doble recompensa;Recompensa dupla;Hadiah ganda;Double récompense;Doppia ricompensa;Doppelte Belohnung;
